 "pm20" , "pm20Label" , "life" , "nationality" , "activities" , "locations" , "count" ,
 "http://purl.org/pressemappe20/folder/pe/017263" , "Stresemann, Gustav" , "1878-1929" , "Germany" , "Außenpolitik; Foreign policy" , "Deutschland; Germany" , "254" ,
 "http://purl.org/pressemappe20/folder/pe/006223" , "Goebbels, Joseph" , "1897-1945" , "Deutschland" , "Politik; Politics" , "Deutschland; Germany" , "243" ,
 "http://purl.org/pressemappe20/folder/pe/006223" , "Goebbels, Joseph" , "1897-1945" , "Germany" , "Politik; Politics" , "Deutschland; Germany" , "243" ,
 "http://purl.org/pressemappe20/folder/pe/035879" , "Truman, Harry S." , "1884-1972" , "USA" , "Staatsoberhaupt; Head of state" , "USA; United States" , "234" ,
 "http://purl.org/pressemappe20/folder/pe/035879" , "Truman, Harry S." , "1884-1972" , "United States" , "Staatsoberhaupt; Head of state" , "USA; United States" , "234" ,
 "http://purl.org/pressemappe20/folder/pe/013670" , "Pius <Papa, XII.>" , "1876-1958" , "Italien" , "Religion; Religion" , "Vatikanstadt; Vatican City State" , "231" ,
 "http://purl.org/pressemappe20/folder/pe/013670" , "Pius <Papa, XII.>" , "1876-1958" , "Italy" , "Religion; Religion" , "Vatikanstadt; Vatican City State" , "231" ,
 "http://purl.org/pressemappe20/folder/pe/014154" , "Rathenau, Walther" , "1867-1922" , "Deutschland" , "Kultur; Culture; Politik; Politics; Economy; Wirtschaft" , "Deutschland; Germany" , "230" ,
 "http://purl.org/pressemappe20/folder/pe/014154" , "Rathenau, Walther" , "1867-1922" , "Germany" , "Kultur; Culture; Politik; Politics; Economy; Wirtschaft" , "Deutschland; Germany" , "230" ,
 "http://purl.org/pressemappe20/folder/pe/001674" , "Bevin, Ernest" , "1881-1951" , "Großbritannien" , "Trade union; Gewerkschaft; Politik; Politics" , "Großbritannien; United Kingdom" , "225" ,
 "http://purl.org/pressemappe20/folder/pe/001674" , "Bevin, Ernest" , "1881-1951" , "United Kingdom" , "Trade union; Gewerkschaft; Politik; Politics" , "Großbritannien; United Kingdom" , "225" ,
 "http://purl.org/pressemappe20/folder/pe/005985" , "George <Great Britain, King, V.>" , "1865-1936" , "Großbritannien" , "Staatsoberhaupt; Head of state" , "Großbritannien; United Kingdom; Indien; India" , "222" ,
 "http://purl.org/pressemappe20/folder/pe/005985" , "George <Great Britain, King, V.>" , "1865-1936" , "United Kingdom" , "Staatsoberhaupt; Head of state" , "Großbritannien; United Kingdom; Indien; India" , "222" ,
 "http://purl.org/pressemappe20/folder/pe/003127" , "Chamberlain, Neville" , "1869-1940" , "Großbritannien" , "Politik; Politics" , "Großbritannien; United Kingdom" , "221" ,
 "http://purl.org/pressemappe20/folder/pe/003127" , "Chamberlain, Neville" , "1869-1940" , "United Kingdom" , "Politik; Politics" , "Großbritannien; United Kingdom" , "221" ,
 "http://purl.org/pressemappe20/folder/pe/005358" , "Ford, Henry" , "1863-1947" , "USA" , "Economy; Wirtschaft" , "USA; United States" , "216" ,
 "http://purl.org/pressemappe20/folder/pe/005358" , "Ford, Henry" , "1863-1947" , "United States" , "Economy; Wirtschaft" , "USA; United States" , "216" ,
 "http://purl.org/pressemappe20/folder/pe/022108" , "Mercier, Désiré" , "1851-1926" , "Belgien" , "Religion; Religion" , "Belgien; Belgium" , "216" ,
 "http://purl.org/pressemappe20/folder/pe/022108" , "Mercier, Désiré" , "1851-1926" , "Belgium" , "Religion; Religion" , "Belgien; Belgium" , "216" ,
 "http://purl.org/pressemappe20/folder/pe/013213" , "Papen, Franz von" , "1879-1969" , "Deutschland" , "Politik; Politics" , "Deutschland; Germany" , "213" ,
 "http://purl.org/pressemappe20/folder/pe/013213" , "Papen, Franz von" , "1879-1969" , "Germany" , "Politik; Politics" , "Deutschland; Germany" , "213" ,
 "http://purl.org/pressemappe20/folder/pe/004590" , "Einstein, Albert" , "1879-1955" , "Deutschland" , "Naturwissenschaft; Natural science" , "Deutschland; Germany" , "209" ,
 "http://purl.org/pressemappe20/folder/pe/004590" , "Einstein, Albert" , "1879-1955" , "Germany" , "Naturwissenschaft; Natural science" , "Deutschland; Germany" , "209" ,
 "http://purl.org/pressemappe20/folder/pe/013840" , "Preußen, Wilhelm von [1982-1951]" , "1882-1951" , "Deutschland" , "Gesellschaft; Society" , "Deutschland; Germany" , "202" ,
 "http://purl.org/pressemappe20/folder/pe/013840" , "Preußen, Wilhelm von [1982-1951]" , "1882-1951" , "Germany" , "Gesellschaft; Society" , "Deutschland; Germany" , "202" ,
 "http://purl.org/pressemappe20/folder/pe/013466" , "Pétain, Philippe" , "1856-1951" , "France" , "Politik; Politics; Militär; Military" , "Frankreich; France" , "202" ,
 "http://purl.org/pressemappe20/folder/pe/013466" , "Pétain, Philippe" , "1856-1951" , "Frankreich" , "Politik; Politics; Militär; Military" , "Frankreich; France" , "202" ,
 "http://purl.org/pressemappe20/folder/pe/008730" , "Jarres, Karl" , "1874-1951" , "Deutschland" , "Politik; Politics" , "Deutschland; Germany" , "196" ,
 "http://purl.org/pressemappe20/folder/pe/008730" , "Jarres, Karl" , "1874-1951" , "Germany" , "Politik; Politics" , "Deutschland; Germany" , "196" ,
 "http://purl.org/pressemappe20/folder/pe/019057" , "MacDonald, James Ramsay" , "1866-1937" , "Großbritannien" , "Politik; Politics" , "Großbritannien; United Kingdom" , "195" ,
 "http://purl.org/pressemappe20/folder/pe/019057" , "MacDonald, James Ramsay" , "1866-1937" , "United Kingdom" , "Politik; Politics" , "Großbritannien; United Kingdom" , "195" ,
 "http://purl.org/pressemappe20/folder/pe/000939" , "Baldwin, Stanley Baldwin" , "1867-1947" , "Großbritannien" , "Politik; Politics" , "Großbritannien; United Kingdom" , "194" ,
 "http://purl.org/pressemappe20/folder/pe/000939" , "Baldwin, Stanley Baldwin" , "1867-1947" , "United Kingdom" , "Politik; Politics" , "Großbritannien; United Kingdom" , "194" ,
 "http://purl.org/pressemappe20/folder/pe/000034" , "Abdülhamid <Osmanisches Reich, Sultan, II.>" , "1842-1918" , "Turkey" , "Staatsoberhaupt; Head of state" , "Osmanisches Reich (-1923); Ottoman Empire" , "194" ,
 "http://purl.org/pressemappe20/folder/pe/000034" , "Abdülhamid <Osmanisches Reich, Sultan, II.>" , "1842-1918" , "Türkei" , "Staatsoberhaupt; Head of state" , "Osmanisches Reich (-1923); Ottoman Empire" , "194" ,
 "http://purl.org/pressemappe20/folder/pe/023715" , "Schumacher, Kurt" , "1895-1952" , "Deutschland" , "Politik; Politics" , "Deutschland; Germany" , "193" ,
 "http://purl.org/pressemappe20/folder/pe/023715" , "Schumacher, Kurt" , "1895-1952" , "Germany" , "Politik; Politics" , "Deutschland; Germany" , "193" ,
 "http://purl.org/pressemappe20/folder/pe/018023" , "Wallace, Henry Agard" , "1888-1965" , "USA" , "Politik; Politics" , "USA; United States" , "193" ,
 "http://purl.org/pressemappe20/folder/pe/018023" , "Wallace, Henry Agard" , "1888-1965" , "United States" , "Politik; Politics" , "USA; United States" , "193" ,
 "http://purl.org/pressemappe20/folder/pe/019384" , "Manstein, Erich von" , "1887-1973" , "Deutschland" , "Militär; Military" , "Deutschland; Germany" , "192" ,
 "http://purl.org/pressemappe20/folder/pe/019384" , "Manstein, Erich von" , "1887-1973" , "Germany" , "Militär; Military" , "Deutschland; Germany" , "192" ,
 "http://purl.org/pressemappe20/folder/pe/013476" , "Peters, Carl" , "1856-1918" , "Deutschland" , "Economy; Wirtschaft; Expedition; Exploration; Colonialism; Kolonialwesen; Öffentliche Verwaltung; Public administration" , "Deutschland; Germany; Ostafrika; East Africa; Deutsch-Ostafrika; German East Africa" , "191" ,
 "http://purl.org/pressemappe20/folder/pe/013476" , "Peters, Carl" , "1856-1918" , "Germany" , "Economy; Wirtschaft; Expedition; Exploration; Colonialism; Kolonialwesen; Öffentliche Verwaltung; Public administration" , "Deutschland; Germany; Ostafrika; East Africa; Deutsch-Ostafrika; German East Africa" , "191" ,
 "http://purl.org/pressemappe20/folder/pe/007386" , "Hedin, Sven Anders" , "1865-1952" , "Schweden" , "Geowissenschaft; Earth science; Expedition; Exploration" , "Schweden; Sweden; Zentralasien; Central Asia" , "191" ,
 "http://purl.org/pressemappe20/folder/pe/007386" , "Hedin, Sven Anders" , "1865-1952" , "Sweden" , "Geowissenschaft; Earth science; Expedition; Exploration" , "Schweden; Sweden; Zentralasien; Central Asia" , "191" ,
 "http://purl.org/pressemappe20/folder/pe/011312" , "Lessing, Theodor" , "1872-1933" , "Deutschland" , "Kultur; Culture; Humanwissenschaft; Human science" , "Deutschland; Germany" , "189" ,
 "http://purl.org/pressemappe20/folder/pe/011312" , "Lessing, Theodor" , "1872-1933" , "Germany" , "Kultur; Culture; Humanwissenschaft; Human science" , "Deutschland; Germany" , "189" ,
 "http://purl.org/pressemappe20/folder/pe/015814" , "Emin Pasa, Mehmed" , "1840-1892" , "Deutschland" , "Medizin; Medicine; Colonialism; Kolonialwesen; Naturwissenschaft; Natural science; Öffentliche Verwaltung; Public administration; Expedition; Exploration" , "Osmanisches Reich (-1923); Ottoman Empire; Deutschland; Germany; Großbritannien; United Kingdom; Ostafrika; East Africa" , "185" ,
 "http://purl.org/pressemappe20/folder/pe/015814" , "Emin Pasa, Mehmed" , "1840-1892" , "Germany" , "Medizin; Medicine; Colonialism; Kolonialwesen; Naturwissenschaft; Natural science; Öffentliche Verwaltung; Public administration; Expedition; Exploration" , "Osmanisches Reich (-1923); Ottoman Empire; Deutschland; Germany; Großbritannien; United Kingdom; Ostafrika; East Africa" , "185" ,
 "http://purl.org/pressemappe20/folder/pe/005730" , "Funk, Walther" , "1890-1960" , "Deutschland" , "Politik; Politics" , "Deutschland; Germany" , "184" ,
 "http://purl.org/pressemappe20/folder/pe/005730" , "Funk, Walther" , "1890-1960" , "Germany" , "Politik; Politics" , "Deutschland; Germany" , "184" ,
 "http://purl.org/pressemappe20/folder/pe/001814" , "Bismarck, Otto von" , "1815-1898" , "Deutschland" , "Politik; Politics" , "Deutschland; Germany" , "183" ,
 "http://purl.org/pressemappe20/folder/pe/001814" , "Bismarck, Otto von" , "1815-1898" , "Germany" , "Politik; Politics" , "Deutschland; Germany" , "183" ,
 "http://purl.org/pressemappe20/folder/pe/009670" , "Kitchener, Horatio Herbert" , "1850-1916" , "Großbritannien" , "Militär; Military; Colonialism; Kolonialwesen; Politik; Politics" , "Großbritannien; United Kingdom" , "182" ,
 "http://purl.org/pressemappe20/folder/pe/009670" , "Kitchener, Horatio Herbert" , "1850-1916" , "United Kingdom" , "Militär; Military; Colonialism; Kolonialwesen; Politik; Politics" , "Großbritannien; United Kingdom" , "182" ,
 "http://purl.org/pressemappe20/folder/pe/032869" , "Tirpitz, Alfred von" , "1849-1930" , "Deutschland" , "Militär; Military; Politik; Politics" , "Deutschland; Germany" , "180" ,
 "http://purl.org/pressemappe20/folder/pe/032869" , "Tirpitz, Alfred von" , "1849-1930" , "Germany" , "Militär; Military; Politik; Politics" , "Deutschland; Germany" , "180" ,
 "http://purl.org/pressemappe20/folder/pe/011281" , "Leopold III. <Belgique, Roi>" , "1901-1983" , "Belgien" , "Staatsoberhaupt; Head of state" , "Belgien; Belgium" , "180" ,
 "http://purl.org/pressemappe20/folder/pe/011281" , "Leopold III. <Belgique, Roi>" , "1901-1983" , "Belgium" , "Staatsoberhaupt; Head of state" , "Belgien; Belgium" , "180" ,
 "http://purl.org/pressemappe20/folder/pe/000135" , "Adenauer, Konrad" , "1876-1967" , "Deutschland" , "Politik; Politics" , "Deutschland; Germany" , "179" ,
 "http://purl.org/pressemappe20/folder/pe/000135" , "Adenauer, Konrad" , "1876-1967" , "Germany" , "Politik; Politics" , "Deutschland; Germany" , "179" ,
 "http://purl.org/pressemappe20/folder/pe/011321" , "Lettow-Vorbeck, Paul von" , "1870-1964" , "Deutschland" , "Militär; Military; Colonialism; Kolonialwesen" , "Deutsch-Ostafrika; German East Africa; Deutschland; Germany" , "178" ,
 "http://purl.org/pressemappe20/folder/pe/011321" , "Lettow-Vorbeck, Paul von" , "1870-1964" , "Germany" , "Militär; Military; Colonialism; Kolonialwesen" , "Deutsch-Ostafrika; German East Africa; Deutschland; Germany" , "178" ,
 "http://purl.org/pressemappe20/folder/pe/039684" , "Willkie, Wendell L." , "1892-1944" , "USA" , "Politik; Politics" , "USA; United States" , "178" ,
 "http://purl.org/pressemappe20/folder/pe/039684" , "Willkie, Wendell L." , "1892-1944" , "United States" , "Politik; Politics" , "USA; United States" , "178" ,
 "http://purl.org/pressemappe20/folder/pe/003335" , "Clemenceau, Georges" , "1841-1929" , "France" , "Politik; Politics" , "Frankreich; France" , "175" ,
 "http://purl.org/pressemappe20/folder/pe/003335" , "Clemenceau, Georges" , "1841-1929" , "Frankreich" , "Politik; Politics" , "Frankreich; France" , "175" ,
 "http://purl.org/pressemappe20/folder/pe/016422" , "Shaw, Bernard" , "1856-1950" , "Ireland" , "Kultur; Culture" , "Irland; Ireland" , "174" ,
 "http://purl.org/pressemappe20/folder/pe/016422" , "Shaw, Bernard" , "1856-1950" , "Irland" , "Kultur; Culture" , "Irland; Ireland" , "174" ,
 "http://purl.org/pressemappe20/folder/pe/012892" , "Niemöller, Martin" , "1892-1984" , "Deutschland" , "Religion; Religion" , "Deutschland; Germany" , "173" ,
 "http://purl.org/pressemappe20/folder/pe/012892" , "Niemöller, Martin" , "1892-1984" , "Germany" , "Religion; Religion" , "Deutschland; Germany" , "173" ,
 "http://purl.org/pressemappe20/folder/pe/000293" , "Albert I. <Belgien, König>" , "1875-1934" , "Belgien" , "Staatsoberhaupt; Head of state" , "Belgien; Belgium" , "173" ,
